DISTRICT,SUB-DISTRICTS,STATE,AREA-KM2,POPULATION,LITERACY-PCT
Adilabad,Mandals,Andhra Pradesh,16105,2741239,61.01
Agra,Tehsils,Uttar Pradesh,4041,4418797,71.58
Ahmadabad,Talukas,Gujarat,8107,7214225,85.31
Ahmadnagar,Talukas,Maharashtra,17048,4543159,79.05
Aizawl,Blocks,Mizoram,3576,400309,97.89
Ajmer,Tehsils,Rajasthan,8481,2583052,69.33
Akola,Talukas,Maharashtra,5676,1813906,88.05
Alappuzha,Talukas,Kerala,1415,2127789,95.72
Aligarh,Tehsils,Uttar Pradesh,3650,3673889,67.52
Alirajpur,Tehsils,Madhya Pradesh,3182,728999,36.1
Allahabad,Tehsils,Uttar Pradesh,5482,5954391,72.32
Almora,Tehsils,Uttarakhand,3144,622506,80.47
Alwar,Tehsils,Rajasthan,8380,3674179,70.72
Ambala,Tehsils,Hariyana,1574,1128350,81.75
Ambedkar Nagar,Tehsils,Uttar Pradesh,2350,2397888,72.23
Amravati,Talukas,Maharashtra,12210,2888445,87.38
Amreli,Talukas,Gujarat,7397,1514190,74.25
Amritsar,Tehsils,Punjab,2683,2490656,76.27
Anand,Talukas,Gujarat,3204,2092745,84.37
Anantapur,Mandals,Andhra Pradesh,19130,4081148,63.57
Anantnag,Tehsils,Jammu and Kashmir,3574,1078692,62.69
Anjaw,Circles,Arunachal Pradesh,6190,21167,56.46
Anugul,Blocks,Odisha,6375,1273821,77.53
Anuppur,Tehsils,Madhya Pradesh,3747,749237,67.88
Araria,Blocks,Bihar,2830,2811569,53.53
Ariyalur,Talukas,Tamil Nadu,1940,754894,71.34
Arwal,Blocks,Bihar,638,700843,67.43
Ashoknagar,Tehsils,Madhya Pradesh,4674,845071,66.42
Auraiya,Tehsils,Uttar Pradesh,2016,1379545,78.95
Aurangabad,Blocks,Bihar,3305,2540073,70.32
Aurangabad,Talukas,Maharashtra,10107,3701282,79.02
Azamgarh,Tehsils,Uttar Pradesh,4054,4613913,70.93
Badgam,Tehsils,Jammu and Kashmir,1361,753745,56.08
Bagalkot,Talukas,Karnataka,6552,1889752,68.82
Bageshwar,Tehsils,Uttarakhand,2241,259898,80.01
